"Date","Name","Nationality","Cause of death","Mountain"
"2023-07-27","Muhammad Hassan","Pakistan","Unknown","K2"
"2022-07-22","Matthew Eakin","Australia","Fall","K2"
"2022-07-22","Richard Cartier","Canada","Fall","K2"
"2022-07-21","Ali Akbar Sakhi","Afghanistan","Unknown, suspected altitude sickness","K2"
"2021-07-25","Rick Allen","United Kingdom","Avalanche","K2"
"2021-02-05","Ali Sadpara","Pakistan","Froze to death in storm, remains found July 2021","K2"
"2021-02-05","Juan Pablo Mohr Prieto","Chile","Froze to death in storm, remains found July 2021","K2"
"2021-02-05","John Snorri Sigurjónsson","Iceland","Froze to death in storm, remains found July 2021","K2"
"2021-02-05","Atanas Skatov","Bulgaria","Fall during descent from Camp 3","K2"
"2021-01-16","Sergi Mingote","Spain","Fall during descent from Camp 1","K2"
"2018-07-22","Watanabe Kojiro","Japan","Fall during descent","K2"
"2018-07-07","Serge Dessureault","Canada","Fall","K2"
"2014-07-30","Miguel Ángel Pérez","Spain","Unclear, likely altitude sickness","K2"
"2013-07-27","Marty Schmidt","New Zealand / United States","Avalanche","K2"
"2013-07-27","Denali Schmidt","New Zealand / United States","Avalanche","K2"
"2012-02-06","Vitaliy Gorelik","Russia","Frostbite","K2"
"2010-08-06","Fredrik Ericsson","Sweden","Fall from the Bottleneck","K2"
"2010-07-17","Petar Georgiev Unzhiev","Bulgaria","Altitude sickness","K2"
"2009-06-23","Michele Fait","Italy","Fall with skis","K2"
"2008-08-02","Hwang Dong-jin","South Korea","Fourth serac fall","K2"
"2008-08-02","Park Kyeong-hyo","South Korea","Fourth serac fall","K2"
"2008-08-02","Kim Hyo-gyung","South Korea","Fourth serac fall","K2"
"2008-08-02","Pasang Bhote","Nepal","Fourth serac fall","K2"
"2008-08-02","Jumic Bhote","Nepal","Fourth serac fall","K2"
"2008-08-02","Gerard McDonnell","Ireland","Second or third serac fall","K2"
"2008-08-02","Meherban Karim","Pakistan","Second or third serac fall","K2"
"2008-08-02","Hugues d'Aubarède","France","Fall during descent","K2"
"2008-08-01","Rolf Bae","Norway","First serac fall","K2"
"2008-08-01","Jahan Baig","Pakistan","Fall while trying to recover Mandić's corpse","K2"
"2008-08-01","Dren Mandić","Serbia","Fall during ascent","K2"
"2007-07-20","Stefano Zavka","Italy","Unknown (disappeared)","K2"
"2007-07-20","Nima Nurbu","Nepal","Fall from the Bottleneck","K2"
"2006-08-13","Arkadi Kuvakin","Russia","Avalanche","K2"
"2006-08-13","Aleksandr Foigt","Russia","Avalanche","K2"
"2006-08-13","Piotr Kuznetsov","Russia","Avalanche","K2"
"2006-08-13","Yuri Uteshev","Russia","Avalanche","K2"
"2004-08-19","Manel de la Mata","Spain","Pulmonary edema","K2"
"2004-08-02","Dauoud Khadem Asl","Iran","Lost in storm, presumed dead","K2"
"2004-08-02","Sergei Sokolov","Russia","Lost in storm, presumed dead","K2"
"2004-07-28","Aleksandr Gubaev","Kyrgyzstan","Fall","K2"
"2004-06-08","Pae Kyong-kyu","South Korea","Avalanche","K2"
"2004-06-08","Kim Jae-koung","South Korea","Avalanche","K2"
"2004-06-08","Lee Hwa-hyeung","South Korea","Avalanche","K2"
"2003-07-21","Klaus-Dieter Grohs","Germany","Fall","K2"
"2002-07-22","Muhammad Iqbal","Pakistan","Fall","K2"
"2002-07-13","Sher Ajman","Pakistan","Avalanche","K2"
"2001-07-22","Park Young-do","South Korea","Fall","K2"
"1999-07-10","Mihai Cioroianu","Romania","Hit by rockfall","K2"
"1996-08-14","Igor Benkin","Russia","Exhaustion","K2"
"1996-07-29","Lorenzo Mazzoleni","Italy","Fall","K2"
"1995-08-15","Jeff Lakes","Canada","Exhaustion","K2"
"1995-08-13","Bruce Grant","New Zealand","Killed in a storm","K2"
"1995-08-13","Rob Slater","United States","Killed in a storm","K2"
"1995-08-13","Alison Hargreaves","United Kingdom","Killed in a storm","K2"
"1995-08-13","Javier Escartin","Spain","Killed in a storm","K2"
"1995-08-13","Javier Olivar","Spain","Killed in a storm","K2"
"1995-08-13","Lorenzo Ortiz","Spain","Killed in a storm","K2"
"1995-07-06","Jordi Anglès","Spain","Fall","K2"
"1994-08-11","Juan Antonio ""Atxo"" Apellániz","Spain","HACE","K2"
"1994-07-24","Steve Untch","United States","Fall from broken rope","K2"
"1994-07-10","Dmitri Ibragim-Zade","Ukraine","Killed in a storm","K2"
"1994-07-10","Aleksandr Parkhomenko","Ukraine","Killed in a storm","K2"
"1994-07-10","Aleksei Kharaldin","Ukraine","Killed in a storm","K2"
"1993-07-31","Daniel Bidner","Sweden","Altitude sickness, fall","K2"
"1993-07-30","Reinmar Joswig","Germany","Fall","K2"
"1993-07-30","Peter Mezger","Germany","Fall","K2"
"1993-07-07","Dan Culver","Canada","Fall","K2"
"1993-06-15","Boštjan Kekec","Slovenia","Altitude sickness","K2"
"1992-08-14","Adrián Benítez","Mexico","Fall","K2"
"1989-07-28","Hans Bärnthaler","Austria","Avalanche","K2"
"1987-08-24","Suzuki Akira","Japan","Fall","K2"
"1986-08-10","Dobrosława Miodowicz-Wolf","Poland","Exhaustion","K2"
"1986-08-10","Alfred Imitzer","Austria","Altitude sickness","K2"
"1986-08-10","Hannes Wieser","Austria","Altitude sickness","K2"
"1986-08-10","Alan Rouse","United Kingdom","Altitude sickness","K2"
"1986-08-07","Julie Tullis","United Kingdom","Altitude sickness","K2"
"1986-08-04","Mohammad Ali","Pakistan","Stonefall","K2"
"1986-08-03","Wojciech Wróż [pl]","Poland","Fall","K2"
"1986-07-16","Renato Casarotto","Italy","Fall into crevasse","K2"
"1986-07-10","Tadeusz Piotrowski","Poland","Fall","K2"
"1986-06-24","Maurice Barrard","France","Disappeared, remains found in 1998 near Camp 1","K2"
"1986-06-24","Liliane Barrard","France","Disappeared, remains found July 19, 1986, near the South Face","K2"
"1986-06-21","John Smolich","United States","Avalanche","K2"
"1986-06-21","Alan Pennington","United States","Avalanche","K2"
"1985-07-07","Daniel Lacroix","France","Unknown (disappeared)","K2"
"1982-08-15","Yanagisawa Yukihiro","Japan","Fall","K2"
"1982-07-30","Halina Krüger-Syrokomska","Poland","Stroke","K2"
"1979-08-19","Laskhar Khan","Pakistan","Stroke","K2"
"1979-06-09","Ali, Son of Kazim","Pakistan","Fall into crevasse","K2"
"1978-06-12","Nick Estcourt","United Kingdom","Avalanche","K2"
"1954-06-21","Mario Puchoz","Italy","Pneumonia","K2"
"1953-08-10","Art Gilkey","United States","Avalanche","K2"
"1939-07-31","Pasang Kikuli","Nepal","Unknown (disappeared)","K2"
"1939-07-31","Pasang Kitar","Nepal","Unknown (disappeared)","K2"
"1939-07-31","Pintso","Nepal","Unknown (disappeared)","K2"
"1939-07-30","Dudley Wolfe","United States","Altitude sickness, severe dehydration","K2"
"2023-05-25","Luis Stitzinger","Germany","Unknown","Kangchenjunga"
"2022-05-05","Narayanan Iyer","India","Altitude sickness","Kangchenjunga"
"2019-05-16","Biplab Baidya","India","Exposure, frostbite","Kangchenjunga"
